Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
24.2161,14.9457,12.1632,0,0.205515,0,0,0,0,0
33.7601,9.48898,0.541899,2.18505,3.03465,0,0,0,0,0
12.4896,6.50871,0.217588,0,0.43135,0,0,0,0,0
34.4698,2.27123,0.832842,4.16483,0,0,0,0,0,0
10.7511,16.9257,24.1218,1.34253,0,0,0,0,0,0
28.0626,2.65796,0.962123,0,0.204573,0,0,0,0,0
49.6046,1.88474,0.159015,0.0621302,0,0,0,0,0,0
28.0042,21.3698,8.95634,0,0,0,0,0,0,0
21.7975,17.5623,1.2674,0,0.0280511,1.1081,0,0,0,0
26.1699,7.86306,1.71147,0,0,0,0,0,0,0
9.84345,30.3118,22.002,1.70302,0,0.199237,0,0,0,0
15.4655,5.15003,4.81746,0.244714,0,0,0,0,0,0
29.9278,4.43596,20.8584,1.62826,0,0,0,0,0,0
31.7455,28.8433,0.598691,0.541577,0.317975,0,0,0,0,0
28.0604,14.296,0.441537,1.3374,0.318076,0,0,0,0,0
8.09978,12.4878,4.79612,6.66131,0.0575464,5.77398,0,0,0,0
41.489,4.78221,4.92141,0.136628,0,0,0,0,0,0
37.2812,8.76503,2.90575,0,0,0,0,0,0,0
44.1134,20.2295,0.975908,0,0,0,0.0115758,0,0,0
35.4871,24.4571,1.09109,0,0,0,0,0,0,0
26.2598,0.358666,7.88625,0.10492,0,0,0,0,0,0
31.833,16.4178,0.788661,1.99808,0.0836399,0.165522,5.35728,0,0,0
16.416,4.32504,0.521339,0.211705,0,0,0,0,0,0
6.39608,13.3201,5.52667,0.382935,0,0,0,0,0,0
20.8853,8.84017,0.24347,0,0.701124,0,0,0,0,0
39.6948,16.2973,9.91955,2.34326,2.66173,0,0,0,0,0
14.6172,13.6057,0.722145,0.564727,0,0,0,0,0,0
37.6295,14.6346,1.09422,0,0,0,0,0,0,0
12.2267,17.0681,0.239021,0.00322393,0,0,0,0,0,0
6.92798,31.1754,9.44966,0.934858,0,0,0.0494861,0,0,0
18.2255,10.9255,8.07161,10.2684,0.934507,0,0.438649,0.113649,0,0
31.8374,5.87367,0.356141,0.822262,0.0225102,0,0,0,0,0
